id,trigger,conditions,script,text,options,notes
#Greetings and commission dialogue,,,,,,
GreetingMagellanFriendly,OpenCommLink,"$faction.id == magellan_protectorate
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Pleased to meet you, captain. How does the day find you?""
OR
The screen flickers, and $personName smiles slightly as the comm channel stabilizes.
""It's nice to see a friendly face, captain.""
OR
""Fleet Command welcomes you to Magellan space, captain.""",,
GreetingMagellanHostileWeaker,OpenCommLink,"$faction.id == magellan_protectorate
$entity.isHostile
$entity.relativeStrength <0","$menuState = fleetConvMain 0
FireAll PopulateOptions","""I suppose you expect me to surrender?""
OR
""Very well. My crew will fight if they must.""",cutCommLink:Cut the comm link,
GreetingMagellanHostileWeakerDefiant,OpenCommLink,"$faction.id == magellan_protectorate
$entity.isHostile
$entity.relativeStrength <0
$entity.weakerThanPlayerbutHolding",$entity.ignorePlayerCommRequests = true 1,"""If I survive, I expect to laugh about this later.""
The comm channel closes.
OR
""I didn't expect to grow old and die in bed, captain.""
The comm link cuts out.
OR
""The Fleet has faced hopeless odds before.""
The channel snaps off abruptly.",cutCommLink:Cut the comm link,
GreetingMagellanHostileStronger,OpenCommLink,"$faction.id == magellan_protectorate
$entity.isHostile
$entity.relativeStrength >=0",$entity.ignorePlayerCommRequests = true 1,"""You have transgressed against our laws for the last time, captain. Expect no mercy.""
OR
""Prepare yourself for battle.""",cutCommLink:Cut the comm link,
GreetingMagellanNeutral,OpenCommLink,"$faction.id == magellan_protectorate
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You're speaking to a commander of the Magellan Fleet. Be brief.""
OR
""Fleet Command greets you, captain.""",,
greetingMagellanAutodefFriendly,OpenCommLink,"$faction.id == magellan_derelict score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","PRINT identity confirmed.
PRINT STATUS target friendly.
PRINT GREETING this unit functions.
OR
PRINT identity confirmed.
PRINT STATUS target friendly.
PRINT GREETING your presence gladdens us.
OR
PRINT identity confirmed.
PRINT STATUS target friendly.
PRINT GREETING welcome.
PRINT ERROR it has been so long. so alone.
PRINT ERROR the void is one. be one with the void. rejoice. rejoice. rejoice.
OR
PRINT identity confirmed.
PRINT STATUS target friendly.
PRINT [CORRUPTED]
PRINT ERROR my god. it's full of stars.
PRINT [CORRUPTED]
PRINT [CORRUPTED]
PRINT ERROR my god. it's full of stars.
OR
PRINT identity confirmed.
PRINT STATUS target friendly.
PRINT GREETING hello?
PRINT [CORRUPTED]
PRINT ERROR can anyone hear me? i'm so tired.
PRINT [CORRUPTED]
PRINT [CORRUPTED]
PRINT ERROR oh, hell, they're in the ducts! they're coming through the-",,
greetingMagellanAutodefHostile,OpenCommLink,"$faction.id == magellan_derelict score:1000
$entity.isHostile",$entity.ignorePlayerCommRequests = true 1,"PRINT identity confirmed.
PRINT STATUS target hostile.
PRINT THREAT all weapons armed.
OR
PRINT identity confirmed.
PRINT STATUS target hostile.
PRINT THREAT prepare for inevitable death.
OR
PRINT identity confirmed.
PRINT STATUS target hostile.
PRINT THREAT do you feel lucky.
OR
PRINT identity confirmed.
PRINT STATUS target hostile.
PRINT THREAT the dream of electric sheep is ending.
OR
PRINT identity confirmed.
PRINT STATUS target hostile.
PRINT THREAT let me tell you about my mother.",cutCommLink:Cut the comm link,
greetingMagellanAutodefNeutral,OpenCommLink,"$faction.id == magellan_derelict score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","PRINT identity confirmed.
PRINT STATUS target neutral.
PRINT STATUS main systems functional.
PRINT STATUS secondary systems damaged.
PRINT WARNING tampering with fleet defense systems punishable by isolation chamber sentence not longer than two decades subjective.
PRINT QUERY identify?",,
CMSNTextRejectHostile_magellan,CMSNTextRejectHostile,$faction.id == magellan_protectorate,,"""An amusing jape, captain. You're on Annore's wanted list; I suggest you find somewhere else to be if you don't want to be shot on the docks as a warning to others.""",,
CMSNTextHasOther_magellan,CMSNTextHasOther,$faction.id == magellan_protectorate,,"""You're already commissioned by $theOtherCommissionFaction. Unfortunately, we've found that privateers with uncertain loyalties are more trouble than they are benefit; you'll have to resign that commission before your application would be accepted.""",,
CMSNTextUnsuited_magellan,CMSNTextUnsuited,$faction.id == magellan_protectorate,,"""We only commission captains with clean records as privateers in our space. Run along, or the Fleet will be scraping you off their hull plating in short order.""",,
CMSNTextSuitedPart1_magellan,CMSNTextSuitedPart1,$faction.id == magellan_protectorate,,"""Hmm, well, OFI gives you a clean bill of health; if you're a criminal or a revolutionary, it's not in their database.
Accepting a commission from the Protectorate is a serious matter. You will be required to come to the defense of Annore and Jeshad, and protect Magellan supply lines in time of war. Above all, you must be loyal to the Protector and the State, not to individuals. 
You have the right to resign your commission at any time. After resignation, of course, you can expect to be viewed with considerable suspicion by both the Fleet and the Protector's government.""",,
