name,gender,usage,category
Arik,m,f,magellan
Ballester,m,f,magellan
Bheret,m,f,magellan
Dalt,m,f,magellan
Eiloh,m,f,magellan
Gavit,m,f,magellan
Jamil,m,f,magellan
Loftus,m,f,magellan
Medohr,m,f,magellan
Moruk,m,f,magellan
Rhimas,m,f,magellan
Sandor,m,f,magellan
Toran,m,f,magellan
Yanni,m,f,magellan
Anmu,f,f,magellan
Aixa,f,f,magellan
Ballestri,f,f,magellan
Beillis,f,f,magellan
Cheli,f,f,magellan
Kayna,f,f,magellan
Lissea,f,f,magellan
Messa,f,f,magellan
Ninizé,f,f,magellan
Pirama,f,f,magellan
Reis,f,f,magellan
Riva,f,f,magellan
Tellma,f,f,magellan
Zetra,f,f,magellan
,,,
Alarcon,"m, f",l,magellan
Bermejo,"m, f",l,magellan
Cerafi,"m, f",l,magellan
Dalganos,"m, f",l,magellan
Dautry,"m, f",l,magellan
Etehu,"m, f",l,magellan
Gremmic,"m, f",l,magellan
Haski,"m, f",l,magellan
Katricon,"m, f",l,magellan
Kiderra,"m, f",l,magellan
Neron,"m, f",l,magellan
Quall,"m, f",l,magellan
Ronah,"m, f",l,magellan
Stanteth,"m, f",l,magellan
Stirad,"m, f",l,magellan
Sxown,"m, f",l,magellan
Tichel,"m, f",l,magellan
Voscune,"m, f",l,magellan
