trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
magellan_quenchgun_trail,magellan_quenchgun_shot,projectile_trail_standard,10,0,0.15,0.75,9,15,"[235,235,255]","[85,85,100]",0.7,400,-1500,0,10,0,1,FALSE,TRUE,TRUE,10,30,0.2,0,0,100,true,false
magellan_quenchgun_core,magellan_quenchgun_shot,projectile_trail_cel,10,0,0.3,0.6,3,1.5,"[235,235,255]","[85,85,100]",1,400,-1500,0,10,0,1,FALSE,TRUE,TRUE,20,60,0.4,0,0,200,true,false
magellan_quenchgun_ring,magellan_quenchgun_shot,projectile_trail_ring,10,0,0.1,0.3,12,20,"[235,235,255]","[85,85,100]",0.85,30,-2000,0,5,0,1,FALSE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_quenchcannon_trail,magellan_quenchcannon_shot,projectile_trail_standard,10,0,0.2,0.8,15,25,"[235,235,255]","[85,85,100]",0.7,400,-2000,0,10,0,1,FALSE,TRUE,TRUE,10,30,0.2,0,0,100,true,false
magellan_quenchcannon_core,magellan_quenchcannon_shot,projectile_trail_cel,10,0,0.4,0.8,5,2.5,"[235,235,255]","[85,85,100]",1,400,-2000,0,10,0,1,FALSE,TRUE,TRUE,20,60,0.4,0,0,200,true,false
magellan_quenchcannon_ring,magellan_quenchcannon_shot,projectile_trail_ring,10,0,0.12,0.36,18,30,"[235,235,255]","[85,85,100]",0.85,36,-2500,0,5,0,1,FALSE,TRUE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
magellan_solenoidgun_trail,magellan_lilsolenoid_shot,projectile_trail_standard,10,0,0.1,0.3,6,4.8,"[135,135,155]","[85,85,100]",0.7,400,-750,0,10,0,1,FALSE,TRUE,TRUE,10,30,0.2,0,0,100,true,false
magellan_solenoidgun_ring,magellan_lilsolenoid_shot,projectile_trail_ring,10,0,0.05,0.15,9,12,"[135,135,155]","[85,85,100]",0.85,24,-1000,0,15,0,1,FALSE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_solenoidbattery_trail,magellan_bigsolenoid_shot,projectile_trail_standard,10,0,0.15,0.45,9,7,"[135,135,155]","[85,85,100]",0.7,400,-700,0,10,0,1,FALSE,TRUE,TRUE,10,30,0.2,0,0,100,true,false
magellan_solenoidbattery_ring,magellan_bigsolenoid_shot,projectile_trail_ring,10,0,0.08,0.2,15,20,"[135,135,155]","[85,85,100]",0.85,30,-900,0,15,0,1,FALSE,TRUE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
magellan_lgkinetic_trail,magellan_lgkinetic_shot,projectile_trail_cel,10,0,0.05,0.2,10,15,"[140,190,210]","[40,90,105]",0.6,400,400,0,20,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
magellan_bonesaw_ftr_trail,magellan_bonesaw_ftr_shot,projectile_trail_standard,10,0,0,0.2,6,4,"[155,135,100]","[45,30,10]",0.6,400,1200,0,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_bonechip_trail,magellan_bonechip_shot,projectile_trail_standard,10,0,0,0.2,7,5,"[155,135,100]","[45,30,10]",0.7,400,1200,0,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_bonesaw_trail,magellan_bonesaw_shot,projectile_trail_standard,10,0,0.05,0.15,8,6,"[155,135,100]","[45,30,10]",0.8,400,1200,0,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_boneshakerbattery_trail,magellan_boneshakerbattery_shot,projectile_trail_standard,10,0,0.05,0.2,9,6,"[155,135,100]","[45,30,10]",0.8,400,1200,0,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_boneshaker_trail,magellan_boneshaker_shot,projectile_trail_standard,10,0,0.05,0.25,10,7,"[155,135,100]","[45,30,10]",0.8,400,1200,0,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_bonecrusher_trail,magellan_bonecrusher_shot,projectile_trail_standard,10,0,0.05,0.5,15,10,"[155,135,100]","[45,30,10]",1,400,1200,0,15,0,1,TRUE,FALSE,TRUE,10,30,0.2,0,0,100,true,false
magellan_edefensor_trail,magellan_edefensor_shot,projectile_trail_standard,10,0,0.1,0.4,4,2,"[155,135,100]","[45,30,10]",0.7,400,1200,0,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_bonegrinder_trail,magellan_bonegrinder_tracershot,projectile_trail_standard,10,0,0.15,0.2,5,4,"[185,165,125]","[45,30,10]",1,400,1200,0,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_bonegrinder_hvy_trail,magellan_bonegrinder_hvy_tracershot,projectile_trail_standard,10,0,0.2,0.2,8,7,"[185,165,125]","[45,30,10]",1,400,1200,0,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
magellan_burstmaster_trail,magellan_burstmaster_shot,projectile_trail_standard,10,0,0.15,0.05,18,6,"[190,155,30]","[70,50,10]",0.75,400,1200,0,15,0,1,TRUE,FALSE,TRUE,10,30,0.1,0,0,100,true,false
magellan_burstmaster_core,magellan_burstmaster_shot,projectile_trail_cel,10,0,0.1,0.25,6,4,"[170,155,90]","[90,70,50]",1,400,1200,0,10,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_largemortar_bomb_glow,magellan_largemortar_bomb,projectile_trail_standard,10,0,0.1,0.2,36,16,"[210,170,90]","[70,50,10]",1,400,400,0,20,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_largemortar_bomb_trail,magellan_largemortar_bomb,projectile_trail_standard,10,0,0,1.5,18,32,"[190,155,30]","[75,75,75]",0.8,400,-400,0,15,0.1,0.1,TRUE,TRUE,FALSE,10,20,0.1,0,0,50,true,false
magellan_lrmbomblet_trail,magellan_lrmbomblet,projectile_trail_standard,10,0,0.1,0.3,10,5,"[190,155,30]","[90,70,50]",0.75,400,1200,0,10,0,1,TRUE,FALSE,TRUE,10,30,0.1,0,0,100,true,false
,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
