name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#Drones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Targeting Drone,magellan_targdrone,,Magellan,,,30,10,600,,150,0,,100,150,150,120,240,5,NONE,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Missile,magellan_missiledrone,,Magellan,,,600,120,300,,100,0,,240,300,300,160,300,5,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,4
Flak,magellan_flakdrone,,Magellan,,,750,150,400,,100,0,,200,300,200,140,300,10,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,4
Combat,magellan_dronefighter,,Antique,,,600,200,300,,60,0,,150,200,300,180,240,15,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,102
Bomber,magellan_dronebomber,,Antique,,,600,300,400,,100,0,,180,240,210,75,150,40,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chela,magellan_interceptor,,Magellan,,,200,25,500,,100,0,,325,450,150,180,360,9,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,101
Jitte,magellan_hvyfighter,,Magellan,flarelauncher_fighter,,400,75,300,,75,0,,325,450,270,120,240,30,OMNI,,160,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,102
Lochaber,magellan_bomber,,Magellan,,,800,125,500,,100,0,,180,225,200,60,120,40,NONE,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,103
Bastardsword,magellan_corvette,,Magellan,,,1000,200,500,,150,0,,140,300,270,105,180,56,OMNI,,210,0,1,,,4,4,,,,,,,,,,,,,,,,,,,,,,0,,,,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stave,magellan_herdintercept,,The Herd,microburn,,600,200,400,,100,0,,150,180,150,75,105,44,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,103
