id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,number
magellan_interceptor_wing,magellan_interceptor_Interceptor,"interceptor3, interceptor, magellan, magellan_core_bp",1,,5,5,CLAW,4000,200,700,4,INTERCEPTOR,Interceptor,5,6000,7
magellan_hvyfighter_wing,magellan_hvyfighter_Fighter,"fighter5, fighter, magellan, magellan_adv_bp",2,,6,10,V,6000,500,300,2,FIGHTER,Heavy Fighter,10,10000,3
magellan_bomber_wing,magellan_bomber_Bomber,"bomber3, bomber, magellan, magellan_core_bp",1,,6,15,V,4000,2000,300,2,BOMBER,Bomber,15,7000,10
magellan_corvette_wing,magellan_corvette_Escort,"fighter5, fighter, magellan, magellan_adv_bp",3,0.1,7,15,CLAW,0,800,,2,SUPPORT,Heavy Escort,24,24000,3
magellan_flakdrone_wing,magellan_flakdrone_Drone,"no_drop, no_sell",3,,6,0,V,0,200,,1,SUPPORT,Point Defense,12,6000,19
,,,,,,,,,,,,,,,,
magellan_interceptor_civ_wing,magellan_interceptor_civ_Interceptor,"interceptor2, interceptor, magellan, magellan_civ, magellan_civ_bp",0,,3,3,CLAW,4000,200,700,4,INTERCEPTOR,Interceptor,4,4500,7
magellan_lightfighter_civ_wing,magellan_lightfighter_civ_Fighter,"fighter4, fighter, magellan, magellan_civ, magellan_civ_bp",0,0.1,5,6,V,6000,500,400,2,FIGHTER,Light Fighter,8,7500,3
magellan_skate_wing,magellan_skate_Escort,"no_drop, no_sell",3,0.1,8,8,V,4000,400,200,4,FIGHTER,Escort Fighter,10,32000,3
magellan_rounder_wing,magellan_rounder_Fighter,"no_drop, no_sell",3,0.1,7,12,CLAW,4000,500,400,2,FIGHTER,Heavy Fighter,15,50000,3
,,,,,,,,,,,,,,,,
magellan_dronefighter_wing,magellan_dronefighter_std,"fighter5, fighter, magellan_derelict, no_sell, auto_fighter",3,,5,10,V,4000,500,,4,FIGHTER,Support,6,15000,3
magellan_dronebomber_wing,magellan_dronebomber_std,"bomber5, bomber, magellan_derelict, no_sell, auto_fighter",3,,7,15,V,4000,2500,300,4,BOMBER,Bomber,12,30000,10
,,,,,,,,,,,,,,,,
magellan_interceptor_blackcollar_wing,magellan_interceptor_blackcollar_Interceptor,"interceptor3, interceptor, magellan_blackcollar",2,,4,5,CLAW,4000,200,700,5,INTERCEPTOR,Interceptor,5,6400,7
magellan_hvyfighter_blackcollar_wing,magellan_hvyfighter_blackcollar_Fighter,"fighter5, fighter, magellan_blackcollar",2,,6,10,V,4000,700,450,3,BOMBER,Fighter-Bomber,10,13500,3
magellan_rounder_blackcollar_wing,magellan_rounder_blackcollar_Fighter,"fighter7, fighter, magellan_blackcollar",3,0.2,7,12,CLAW,0,1800,,2,SUPPORT,Escort Fighter,15,25000,3
magellan_missiledrone_wing,magellan_missiledrone_std,"no_drop, no_sell",3,,8,0,CLAW,0,200,,5,SUPPORT,FIre Support,6,10000,19
,,,,,,,,,,,,,,,,
magellan_interceptor_startiger_wing,magellan_interceptor_startiger_Interceptor,"interceptor3, interceptor, magellan_startiger",2,,5,5,CLAW,4000,200,700,4,INTERCEPTOR,Interceptor,5,6400,7
magellan_interceptor_startiger_lt_wing,magellan_interceptor_startiger_Interceptor,"no_drop, no_sell",1,,3,3,CLAW,4000,200,700,2,INTERCEPTOR,Interceptor,5,3200,7
magellan_bomber_startiger_wing,magellan_bomber_startiger_Bomber,"fighter5, fighter, magellan_startiger",2,,6,15,V,4000,2000,750,2,BOMBER,Bomber,15,7600,10
magellan_corvette_startiger_wing,magellan_corvette_startiger_Gunship,"fighter7, fighter, magellan_startiger",3,,8,18,CLAW,4000,1200,400,2,FIGHTER,Gunship,24,30000,3
,,,,,,,,,,,,,,,,
magellan_herdintercept_wing,magellan_herdintercept_Fighter,"no_drop, no_sell",2,,8,12,CLAW,4000,750,100,3,FIGHTER,Assault Fighter,15,20000,3
magellan_hvyfighter_theherd_wing,magellan_hvyfighter_theherd_Fighter,"no_drop, no_sell",1,,6,8,V,4000,500,300,3,FIGHTER,Scout Fighter,10,12500,3
magellan_hvyfighter_theherd_single_wing,magellan_hvyfighter_theherd_Fighter,"no_drop, no_sell",1,,2,4,V,4000,500,300,1,FIGHTER,Scout Fighter,10,4500,3
,,,,,,,,,,,,,,,,
magellan_swarmfighter_wing,magellan_swarmfighter_Assault,"interceptor5, interceptor, leveller, magellan_levellercore_bp, auto_fighter",3,,5,12,CLAW,3200,300,400,6,FIGHTER,Heavy Swarmer,10,20000,22
magellan_swarmfighter_half_wing,magellan_swarmfighter_Assault,"no_drop, no_sell",3,,3,6,CLAW,3200,300,400,3,FIGHTER,Heavy Swarmer,10,10000,22
magellan_rounder_leveller_wing,magellan_rounder_leveller_Bomber,"no_drop, no_sell",3,0.1,8,18,V,4000,2500,600,3,BOMBER,Light Bomber,15,30000,3
,,,,,,,,,,,,,,,,
magellan_intyellowtail_wing,magellan_intyellowtail_Interceptor,"interceptor3, interceptor, magellan_yellowtail, magellan_yellowtail_bp",3,,4,4,V,4000,200,700,4,INTERCEPTOR,Scout,4,5000,7
magellan_hvyfighter_yellowtail_wing,magellan_hvyfighter_yellowtail_Fighter,"fighter5, fighter, magellan_yellowtail, magellan_yellowtail_bp",3,,5,9,V,4000,500,300,2,BOMBER,Strike Fighter,9,10500,3
magellan_corvette_yellowtail_wing,magellan_corvette_yellowtail_Escort,"fighter7, fighter, magellan_yellowtail, magellan_yellowtail_bp",3,,7,14,CLAW,0,1000,,2,SUPPORT,Heavy Escort,21,25000,3
magellan_bomberyellowtail_wing,magellan_bomberyellowtail_Bomber,"bomber5, bomber, magellan_yellowtail, magellan_yellowtail_bp",3,,5,14,V,4000,2500,300,2,BOMBER,Bomber,18,10000,10

# === Magellan Content ===,,,,,,,,,,,,,,,,
