id,type,text1,text2,text3,notes
magellan_interceptor,SHIP,"A lightweight, agile dogfighter favored by Protectorate fleet pickets. Built around a swiveling gimbal gunpod and reinforced thruster housings, Chela wings excel at darting through dense flak screens to intercept incoming torpedoes and harass hostile strike craft.",,,
magellan_interceptor_blackcollar,SHIP,"Reinforced by Blackcollar technicians with laminated boron-carbide armor and heavy maneuvering jets. While slightly slower than regular fleet models, its enhanced survivability enables it to hold point-blank interception vectors amidst heavy capital flak.",,,
magellan_interceptor_civ,SHIP,"A stripped-down civilian security variant commonly operated by mining guilds and orbital port militias. Lacking militarized avionics, it compensates with simplified flight controls and affordable maintenance overhead.",,,
magellan_interceptor_startiger,SHIP,"Upgraded by the elite Skytiger Guard with high-output flux conduits and an up-gunned heavy ballistic cannon, transforming the agile Chela into a lethal space-superiority duelist.",,,
magellan_intyellowtail,SHIP,"Refitted by the Tichel Mercantile Concern with enhanced long-range telemetry, sensor suites, and high-efficiency drive coils to serve as armed convoy scouts and reconnaissance escorts.",,,
magellan_herdcarrier,SHIP,"A testament to both the recklessness and the ingenuity of the Herd's scavengers, the Goforth battlecarrier is an aggressive amalgam of salvaged hulls, reinforced with thick slabs of scrap metal and supercharged by volatile geothermal fuel feeds. It plunges directly into the brawl to deploy endless swarms of raiders.",,,
magellan_herdintercept,SHIP,"Crude, slow, and armored well beyond need or reason, the Stave is a brutal delivery system for a sawed-off Heavy Flenser, designed to simply chop rival strikecraft in half with a point-blank storm of explosive slugs.",,,
magellan_flakdrone,SHIP,"An advanced point-defense drone designed to accompany Magellan patrol gunships, maintaining a continuous defensive perimeter of proximity-fused flak bursts to shield allied vessels from incoming missile barrages.",,,
magellan_lightfighter_civ,SHIP,"A civilian-rated space-superiority fighter utilized by planetary customs patrols, boasting respectable shielding, responsive maneuvering thrusters, and dependable close-quarters armament.",,,
magellan_hvyfighter,SHIP,"The heavy backbone of Protectorate carrier strike wings. Powerful, fast, and shielded against intense counter-fire, the Jitte is capable of surviving sustained brawls around enemy cruisers and capital ships to deliver decisive close-range ordnance.",,,
magellan_hvyfighter_blackcollar,SHIP,"Refitted by the Blackcollars for planetary assault and shock warfare, this heavy fighter mounts hardened ballistic sponsons and heavy-duty armor to provide crushing close air support.",,,
magellan_hvyfighter_theherd,SHIP,"Scavenged and repurposed by the Herd, this modified Jitte trades long-term hull safety for an aggressive, missile-heavy alpha strike configuration that overwhelms targets before they can retaliate.",,,
magellan_hvyfighter_yellowtail,SHIP,"Customized by the Tichel Concern as a multirole escort fighter, blending beam precision with extended patrol endurance to safeguard high-value merchant convoys across the sector.",,,
magellan_bomber,SHIP,"A heavily armored strike bomber deploying twin bays for electron bombs. While not matching the raw kinetic blast of conventional torpedoes, its devastating EMP arcs leave enemy ships crippled and ripe for follow-up fleet strikes.",,,
magellan_bomber_startiger,SHIP,"The Skytiger variant replaces standard electron ordnance with flux-primed fusion bombs, delivering crushing anti-armor thermal devastation on targeted capital hulls.",,,
magellan_bomberyellowtail,SHIP,Outfitted by the Tichel Concern with rocket grenade bays for sustained saturation bombardment against pirate hideouts and asteroid encampments.,Strike Bomber,,
magellan_corvette,SHIP,"A tough, heavily protected escort corvette designed to anchor fighter screens and suppress enemy missile salvos with flexible autocannon turrets and anti-fighter ordnance.",,,
magellan_corvette_startiger,SHIP,"An aggressive strike corvette armed with a high-intensity fusion lance and anti-fighter missiles, engineered to spearhead assault runs and carve through the armor of hostile cruisers.",,,
magellan_corvette_yellowtail,SHIP,"Outfitted with precision beam projectors and defensive flares, serving as a steadfast line escort for vulnerable trade convoys across contested jump-points.",,,
magellan_swarmfighter,SHIP,A vicious and highly agile attack drone utilizing forbidden machine reflexes to overwhelm targets with precise energy bursts. Few unaugmented pilots have tangled with a Swarmfighter wing and lived to tell the tale.,Attack Drone,,
magellan_levbomber,SHIP,"A nimble insurgent strike craft equipped with afterburners and omni-shields, delivering cluster munitions in hit-and-run attacks against state infrastructure.",,,
magellan_corvette_blackcollar,SHIP,"A tough, well-protected attack corvette armed with a powerful turret and anti-armor missiles, refitted by the Blackcollars as a dedicated assault gunship against fortified targets.",,,
magellan_bomber_blackcollar,SHIP,"A heavily armored standoff bomber deploying twin missile bays, allowing Blackcollar strike wings to bombard defended targets from outside point-defense killzones.",,,
magellan_bomber_civ,SHIP,"A rugged support fighter wielding a heavy nose-mounted Bonethrower Cannon, capable of breaking open derelict hulls and pirate skiffs.",,,
magellan_bomber_marauder,SHIP,"An armored support fighter deploying a High Intensity Cutting Laser and defensive flak mines, modified to keep frontal threats at bay through massed laser fire and a thick screen of flak pods.",,,
magellan_hvyfighter_strikecraft_marauder,SHIP,"A heavily modified Jitte-class strike fighter created by renegade engineer Tai Cor-Lan, featuring extra thrusters, an upgraded main cannon, underslung autoguns, and powerful fuel injectors.",,,
magellan_hvyfighter_marauder,SHIP,"Powerful, fast, and heavily shielded, this heavy fighter is customized by the Marauders to deliver a devastating first-strike punch in close quarters.",,,
magellan_corvette_strikecraft_marauder,SHIP,"A heavily modified Bastardsword corvette created by Tai Cor-Lan, boasting reinforced armor, an altered lance, an enormous underslung cannon, and coordinated wing telemetry.",,,
magellan_corvette_marauder,SHIP,"A tough, well-protected attack corvette armed with a deadly fragmentation shotgun and armor-stripping missiles, modified by the Marauders for endurance and attrition.",,,
magellan_corvette_strikecraft_leveller,SHIP,"A reconditioned Bastardsword corvette modified to serve the Leveller cause, equipped with modular flux systems and advanced command software to coordinate a wing of swarmfighter drones.",,,
magellan_targdrone,SHIP,An automated fire-control drone equipped with high-resolution rangefinders and a low-powered point-defense maser to augment the gunnery of its host vessel.,Targeting Drone,,
