name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#Kinetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER Light Autogun,magellan_sniperautogun,0,0.3,250,800,,25,,5,25,3,,,,KINETIC,25,,,1.0667,2.5,0.15,0,7,1,10,,1200,,,25,,,,"kinetic4, LR, magellan, magellan_core_bp, magellan_civ_bp, rare_bp",,Magellan,,Fire Support,,,,,,,,,,1.1
Tribarrel Autogun,magellan_smgatling,0,,400,600,,40,,5,45,5,,,,KINETIC,36,,,0.2,1.5,0.2,1,9,2,15,,1100,,,40,,,,"kinetic6, magellan, magellan_adv_bp, magellan_yellowtail_bp, rare_bp",,Magellan,,Anti Shield,,,,,,,,,,1.1
Cluster Autocannon,magellan_medgatling,1,,1200,1000,,300,,10,25,10,,,,KINETIC,300,,,2.4,1,,1,5,1,15,,900,,,100,,,,"kinetic11, magellan, magellan_core_bp, magellan_civ_bp, rare_bp",,Magellan,,Anti Shield,,,,Spread Pattern,Fires a tight cluster of between nine and twelve %s damage kinetic fragments.,30,,,,1.2
Auto Shotgun Sub,magellan_autoshotgun_sub,3,,0,275,,30,,5,0,0,,,,KINETIC,300,,,1,,,,,,,,300,,,,,,SYSTEM,,,,,,,,,,,,,,,1.5
Mag Driver,magellan_solenoidgun,3,0.5,900,800,,200,,10,20,9,,,,KINETIC,240,,,2,1,,1,4,1,10,,750,,,180,,,,"kinetic8, magellan, rare_bp, magellan_startiger, magellan_yellowtail_bp, hist2t",,Magellan,,Fire Support,,,,,Hits to armor or hull have a %s chance of spalling internally for %s extra %s damage.,25% | 50-100 | Fragmentation,,,,1.5
Solenoid Quench Gun,magellan_quenchgun,2,0.5,2000,800,,300,,20,15,12,,,,KINETIC,360,,,2,1,,1,4,1,15,,1500,,,300,,,,"kinetic14, magellan, magellan_adv_bp, magellan_blackcollar, hist3t, rare_bp",,Magellan,,Anti Shield,,,,,Hypervelocity projectiles improve the chances of a hit on fast or distant targets. Hits to armor or hull have a %s chance of spalling internally for %s extra %s damage.,25% | 150-200 | Fragmentation,,,,1.5
Mag Driver Battery,magellan_solenoidbattery,3,0.7,6800,1000,,300,,30,12,24,,,,KINETIC,333.3,,,2.1,3,0.2,1,4,1,7,,700,,,400,,,RESET_BARREL_INDEX_ON_BURST,"kinetic18, magellan, rare_bp, magellan_startiger, magellan_yellowtail_bp",,Magellan,,Fire Support,,,,,Hits to armor or hull have a %s chance of spalling internally for %s extra %s damage.,25% | 150-200 | Fragmentation,,,,1.5
Solenoid Quench Cannon,magellan_quenchcannon,3,,10800,1000,,900,,50,15,28,,,,KINETIC,1200,,,3,1,,0,2,1,10,,2000,,,900,,,SYSTEM,"kinetic24, no_sell",,Magellan,,General,,,,,Hypervelocity projectiles improve the chances of a hit on fast or distant targets. Hits to armor or hull have a %s chance of spalling internally for %s extra %s damage.,25% | 300-450 | Fragmentation,,,,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Frag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonesaw Cannon,magellan_bonesaw,0,,300,600,,200,,0,75,5,,,,FRAGMENTATION,50,,,0.5,1,,0,3,1,15,,900,,,50,,,,"he6, magellan, magellan_core_bp, magellan_civ_bp, magellan_theherd, rare_bp",,Magellan,,General,,,,,,,,,,1.3
Bonecracker Riot Gun,magellan_bonecracker,1,0.5,900,450,,225,,0,30,6,4,0.6667,1,FRAGMENTATION,75,,,0.75,1,,1,5,1,5,,650,,,100,,,"PD, PD_ALSO","he9, magellan, magellan_adv_bp, rare_bp",,Magellan,,Point Defense,,,,Spread Pattern,Fires a single %s damage %s core and six %s damage %s submunitions.,75 | High Explosive | 25 | Fragmentation,,,,1.3
Bonecracker Core,magellan_bonecracker_core,3,,0,450,,75,,0,30,0,,,,HIGH_EXPLOSIVE,40,,,1,,,,,,,,650,,,60,,,SYSTEM,,,,,,,,,,,,,,,1.5
Bonecracker Sub,magellan_bonecracker_sub,3,,0,450,,25,,0,30,0,,,,FRAGMENTATION,5,,,1,,,,,,,,650,,,20,,,SYSTEM,,,,,,,,,,,,,,,1.5
Boneshaker Cannon,magellan_boneshaker,1,,1200,700,,400,,0,50,10,,,,FRAGMENTATION,100,,,0.75,2,0.25,0,5,1,15,,700,,,100,,,,"he10, magellan, magellan_adv_bp, magellan_civ_bp, rare_bp",,Magellan,,General,,,,,,,,,,1.4
Boneshaker Battery,magellan_boneshakerbattery,3,0.5,1600,700,,300,,0,40,12,,,,FRAGMENTATION,75,,,0.825,3,0.15,1,4,1,10,,800,,,75,,,,"he12, magellan, magellan_startiger, magellan_yellowtail_bp, rare_bp",,Magellan,,General,,,,,,,,,,1.4
Bonecrusher Cannon,magellan_bonecrusher,2,0.5,3200,800,,600,200,0,12,12,,,,FRAGMENTATION,200,,0.1,0.9,1,,2,8,1,10,,800,,,100,,,,"he13, magellan, magellan_antique, magellan_blackcollar, rare_bp, hist2t",,Antique,,Anti Armor,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s extra %s damage.",20% | 100 | Energy,,,,1.4
Bonecrusher Battery,magellan_largebonecrusher,2,,7200,900,,600,200,0,8,20,,,,FRAGMENTATION,200,,0.1,1.0333,2,0.2,1,6,1,10,,800,,,100,,,,"he18, magellan, magellan_antique, magellan_blackcollar, rare_bp, hist3t",,Antique,,Anti Armor,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s extra %s damage.",20% | 100 | Energy,,,,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#High Explosive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvo Assault Gun,magellan_salvoag,1,,600,700,,50,,25,25,4,,,,HIGH_EXPLOSIVE,50,,,1.2,3,0.15,5,15,2,5,,600,,,60,,,RESET_BARREL_INDEX_ON_BURST,"he5, magellan_core_bp, magellan_startiger, magellan_civ_bp, rare_bp",,Magellan,,General,,,,,,,,,,1.5
Revolver Cannon,magellan_revgrenade,1,0.7,1000,550,,100,,50,45,6,6,1,3,HIGH_EXPLOSIVE,100,,,0.3333,1,,3,9,3,10,,850,1000,20,200,,,,"he7, magellan_adv_bp, magellan_blackcollar, magellan_yellowtail_bp, rare_bp",,Magellan,,Anti Armor,,,,,,,,,,1.5
Beehive Cannon,magellan_beehive,0,0.5,1400,800,,400,,25,18,10,,,,HIGH_EXPLOSIVE,400,,,2.5,1,,1,7,1,10,,900,,,300,,,,"he12, magellan_core_bp, magellan_civ_bp, magellan_yellowtail_bp, rare_bp",,Magellan,,Strike,,,,Spread Pattern,Special pre-fragmented ammunition splits into a %s damage core projectile along with five %s damage submunitions.,150 | 50,,,,1.5
Beehive Core,magellan_beehive_core,3,,0,850,,150,,50,18,0,,,,HIGH_EXPLOSIVE,150,,,1,,,,,,,,900,,,,,,SYSTEM,,,,,,,,,,,,,,,1.5
Beehive Sub,magellan_beehive_sub,3,,0,850,,50,,25,18,0,,,,HIGH_EXPLOSIVE,50,,,1,,,,,,,,900,,,,,,SYSTEM,,,,,,,,,,,,,,,1.5
Burstmaster Cannon,magellan_burstmaster,1,0.3,1800,1000,,250,,75,9,13,5,0.4,2,HIGH_EXPLOSIVE,250,,,1.25,1,,1,7,2,10,,1050,,,250,,,DO_NOT_CONSERVE,"he14, LR, magellan_adv_bp, magellan_blackcollar, rare_bp",,Magellan,,Strike,,,,,,,,,,1.5
Blast Hammer Artillery,magellan_largemortar,2,,4000,1000,,1000,,100,7,20,,,,HIGH_EXPLOSIVE,1250,,0.2,4.8,1,,2,10,2,8,,500,700,30,2000,0.3,,"BOMB, DO_NOT_CONSERVE","he20, LR, magellan, magellan_startiger, rare_bp",,Magellan,,Fire Support,,,,,Projectile is %s by point defense.,vulnerable to interception,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Flenser CIWS,magellan_smciws,0,,300,300,,25,,1,120,4,,,,HIGH_EXPLOSIVE,8,,,1.05,5,0.05,1,6,1,10,,1200,,,10,,,PD,"pd7, SR, magellan, magellan_core_bp, magellan_civ_bp, rare_bp",,Magellan,,Point Defense,,,,,One in four rounds is a tracer. %s of the shots reach %s of the maximum range and %s of the shots reach full range.,100% | 75% | 50%,,,,1.6
LFlenser Tracers,magellan_flenser_tracer,3,,0,325,,35,,1,1,1,,,,ENERGY,0,,,1,1,,0,0,0,0,,1200,,,10,,,SYSTEM,,,,,,,,,,,,,,,1.6
Heavy Flenser CIWS,magellan_medciws,1,,1200,450,,50,,1,60,10,,,,HIGH_EXPLOSIVE,25,,,1.17,5,0.07,2,8,1,10,,1100,,,10,,,"PD, PD_ALSO","pd11, SR, magellan, magellan_core_bp, magellan_blackcollar, rare_bp",,Magellan,,Point Defense,,,,,One in four rounds is a tracer. %s of the shots reach %s of the maximum range and %s of the shots reach full range.,100% | 75% | 50%,,,,1.7
HFlenser Tracers,magellan_grinder_tracer,3,,0,475,,75,,1,1,1,,,,ENERGY,0,,,1,1,,0,0,0,0,,1100,,,10,,,SYSTEM,,,,,,,,,,,,,,,1.6
PD Maser,magellan_smpdmaser,1,,750,400,300,,,0,120,6,,,,FRAGMENTATION,,100,,0.3,0.3,0.3,,,,,10000,,,,,,,"PD, PD_ONLY, ANTI_FTR","pd9, beam6, magellan, magellan_adv_bp, magellan_civ_bp, magellan_blackcollar, magellan_startiger, magellan_yellowtail_bp, rare_bp",,Magellan,,Point Defense,,,,,,,,,,1.9
Heavy PD Maser,magellan_medpdmaser,1,0.5,3000,500,600,,,0,90,10,,,,FRAGMENTATION,,200,,0.4,0.4,0.4,,,,,10000,,,,,,,"PD, PD_ONLY, ANTI_FTR, IGNORES_FLARES","pd15, beam10, magellan, magellan_adv_bp, magellan_startiger, magellan_yellowtail_bp, rare_bp",,Magellan,,Point Defense,,,,,Advanced built-in targeting sensors enable the weapon to identify decoy flares and not fire on them.,decoy flares,,,,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
